WORD,POS
"karalyčia",NA
"karalystėms",NA
"karalystė",NA
"karalystę",NA
"karalystėn",NA
"karalystės",NA
"karančiam",V
"karėje",NA
"kariais",NA
"Kar,Rg",-
"karšta",ADJ
"karštai",ADV
"kartais",ADV
"kartą",NA
"karto",NA
"kartų",ADJ
"kartumą",NA
"kartu",NA
"kartų",NA
"kartus",NA
"karūna",NA
"karūnavojimas",NA
"kas",PK
"katekizmas",NA
"katekizmėliu",NA
"kaukolės",NA
"kaukus",NA
"keldamas",V
"keldamiesi",V
"keleriopi",ADJ
"kėlėsi",V
"kelią",NA
"keliantis",V
"keliauja",V
"keliavime",NA
"kėlimą",NA
"kėlimas",NA
"kėlimo",NA
"kėlimui",NA
"kelio",NA
"kelsis",V
"kenčia",V
"kenčiu",V
"kentė",V
"keršto",NA
"kęsdamas",V
"kęsiu",V
"kęsti",V
"ketindamas",V
"ketinimą",NA
"keturi",CARD
"keturioms",CARD
"keturios",CARD
"keturių",CARD
"ketveriopi",ADJ
"ketvirta",ADJO
"ketvirtą",ADJO
"ketvirtas",ADJO
"ketvirti",ADJO
"ketvirtoje",ADJO
"kiek",ADV
"kiekdienos",NA
"kiekviename",PI
"kiekvienam",PI
"kiekvienas",PI
"kiekvienoje",PI
"kiekvienos",PI
"kielike",NA
"kieno",PK
"kitad",ADV
"kitaip",ADV
"kitais",PI
"kitam",PI
"kita",PI
"kitą",PI
"kitas",PI
"kitiems",PI
"kiti",PI
"kitomis",PI
"kito",PI
"kitos",PI
"kituose",PI
"kitų",PI
"kitus",PI
"kiželę",NA
"klausiau",V
"klauso",V
"klausydami",V
"klausysi",V
"klausyti",V
"kloniojuosi",V
"klonyje",NA
"knygas",NA
"knygelių",NA
"knygų",NA
"kodrin",ADV
"kodrinag",ADV
"kogi",ADV
"kokiame",PI
"kokia",PI
"kokią",PI
"kokias",PI
"kokiems",PI
"kokie",PI
"kokio",PI
"kokios",PI
"kokį",PI
"kokiu",PI
"koksai",PI
"koks",PI
"kolei",ADV
"ko",PK
"krašto",NA
"kraują",NA
"kraujas",NA
"kraujo",NA
"krauju",NA
"krauplūdį",NA
"kredą",NA
"kredo",-
"kredoje",NA
"kredos",NA
"kreivumas",NA
"kreivumus",NA
"krėslo",NA
"kriesą",NA
"krikščionies",NA
"krikščionimi",NA
"krikščionišką",ADJ
"krikščioniškas",ADJ
"krikščioniško",ADJ
"krikščioniškop",ADJ
"krikščioniškopi",ADJ
"krikščioniškos",ADJ
"krikščioniškų",ADJ
"krikščionis",NA
"krikščioniui",NA
"krikščionių",NA
"krikščionys",NA
"krikštas",NA
"krikštijo",V
"krikšto",NA
"krikštytojas",NA
"Kristau",NT
"Kristaus",NT
"Kristui",NT
"Kristų",NT
"Kristupi",NT
"Kristus",NT
"krivdas",NA
"Krizostomas",NT
"kruviną",ADJ
"kryžiaus",NA
"kryžiumi",NA
"kūną",NA
"kūnas",NA
"kūne",NA
"kunigai",NA
"kunigams",NA
"kunigas",NA
"kunigiško",ADJ
"kunigo",NA
"kunigui",NA
"kunigų",NA
"kunigystė",NA
"kunigystės",NA
"kūniškos",ADJ
"kūno",NA
"kūnu",NA
"kūnų",NA
"kuopė",V
"kuo",PK
"kuopoje",NA
"kuo",PTK
"kuorai",NA
"kuorų",NA
"kur",ADV
"kuriais",PK
"kuriame",PK
"kuriam",PK
"kuria",PK
"kurią",PK
"kurias",PK
"kurie",PK
"kuriji",PK
"kurioje",PK
"kuriomis",PK
"kurion",PK
"kuriopi",PK
"kurio",PK
"kuriose",PK
"kurios",PK
"kuri",PK
"kurį",PK
"kurisai",PK
"kuris",PK
"kuriuo",PK
"kuriuos",PK
"kurių",PK
"kurtiniai",NA
"labai",ADJ
"labai",ADV
"labiau",ADV
"labiausiai",ADV
"laikosi",V
"laikytis",V
"laikyti",V
"laimi",ADJ
"laimiai",ADV
"laiminti",V
"laimioji",ADJ
"laistymas",NA
"laizdančios",V
"lašelį",NA
"latras",NA
"latrui",NA
"laukdami",V
"laukiančios",V
"Ledesmą",NT
"lenkiško",ADJ
"lepinti",V
"lepra",NA
"lepumas",NA
"lepumu",NA
"liaupsei",NA
"liaupse",NA
"liaupsė",NA
"liaupsę",NA
"liaupsėse",NA
"liaupsės",NA
"liaupsėspi",NA
"liaupsindami",V
"liaupsinime",NA
"liaupsinkite",V
"liaupsink",V
"liaupsinti",V
"liaupsintumbime,liaupsintumėme",V
"liečia",V
"lieja",V
"liekarstvą",NA
"liekoriaus",NA
"liekti",V
"liepdami",V
"liepė",V
"liepia",V
"liepti",V
"lieptų",V
"lietus",NA
"lietuvišką",ADJ
"lietuviško",ADJ
"liežuvio",NA
"liežuviu",NA
"liga",NA
"ligą",NA
"ligas",NA
"ligonį",NA
"ligonis",NA
"ligon",NA
"ligonys",NA
"ligos",NA
"ligotas",ADJ
"liktis",V
"linksmas",ADJ
"linksmieji",ADJ
"linksmintis",V
"linksmybe",NA
"linksmybė",NA
"linksmybėspi",NA
"liudija",V
"liudijimo",NA
"liudimo",NA
"lobio",NA
"lucc.",-
"Lukas",NT
"luomą",NA
"luošas",ADJ
"lygus",ADJ
"lygūs",ADJ
"lytėjimas",NA
"m",***
"m",-
"m.",-
"Magdaleną",NT
"Magdalenos",NT
"majestetu",NA
"majestotą",NA
"majestoto",NA
"majestotui",NA
"majestotu",NA
"malda",NA
"maldą",NA
"maldas",NA
"maldoje",NA
"maldomis",NA
"maldoms",NA
"maldose",NA
"maldos",NA
"maldumpi",NA
"malonaus",ADJ
"malonei",NA
"malonėje",NA
"malone",NA
"malonė",NA
"malonę",NA
"malonės",NA
"maloniai",ADV
"maloniausias",ADJ
"maloniausiasis",ADJ
"maloniausio",ADJ
"maloningam",ADJ
"maloniu",ADJ
"malonu",ADJ
"malonų",ADJ
"malonus",ADJ
"malonusis",ADJ
"malonybė",NA
"malonyji,malonioji",ADJ
"manai",PPER
"manais",PPER
"manam",PPER
"mana",PPER
"maną",PPER
"manas",PPER
"mandagus",ADJ
"mane",PPER
"manęspi",PPER
"manęs",PPER
"manęsp",PPER
"maniems",PPER
"manimi",PPER
"manimpi",PPER
"manipi",PPER
"manoji",PPER
"manoms",PPER
"mano",PPER
"manose",PPER
"manos",PPER
"man",PPER
"manu",PPER
"manų",PPER
"manus",PPER
"Marijai",NT
"Marijaipi",NT
"Marija",NT
"Mariją",NT
"Marijos",NT
"Marijų",NT
"marinančias",V
"marinančia",V
"marinančiomis",V
"marinančiospi",V
"marinančios",V
"marinantiji",V
"marina",V
"marintų",V
"marr.",-
"mąstau",V
"mąstyti",V
"matt.",-
"maža",ADJ
"mažą",ADJ
"mažas",ADJ
"mažesnį",ADJ
"mazgotų",V
"mažiau",ADV
"mažiausią",ADJ
"mažiausiais",ADJ
"mažinteliai",ADJ
"mažos",ADJ
"medeines",NA
"medžią",NA
"medžio",NA
"medžius",NA
"meilaširdingi",ADJ
"meilaširdumą",NA
"meilėje",NA
"meile",NA
"meilė",NA
"meilę",NA
"meilės",NA
"meilingą",ADJ
"meilingais",ADJ
"meilingas",ADJ
"meilingu",ADJ
"meilingumu",NA
"meiliu",ADJ
"meilų",ADJ
"meilyji,meilioji",ADJ
"meldė",V
"meldiesi",V
"meldi",V
"meldžiame",V
"meldžiantis",V
"meldžiuosi",V
"meldžiu",V
"melsdamiesi",V
"melskis",V
"melstis",V
"melsti",V
"melstumbime,melstumėme",V
"melstumbimės,melstumėmės",V
"mename",V
"mergai",NA
"mergaipi",NA
"merga",NA
"mergą",NA
"mergos",NA
"mergystės",NA
"Mesijas",NT
"mes",PPER
"metais",NA
"metą",NA
"metui",NA
"metu",NA
"metų",NA
"metuose",NA
"metus",NA
"miege",NA
"mielai",ADV
"mielais",ADJ
"mielas",ADJ
"mieląsias",ADJ
"mielaširdingai",ADV
"mielaširdingas",ADJ
"mielaširdingoje",ADJ
"mielaširdingus",ADJ
"mielaširdumą",NA
"mielaširdumo",NA
"mielaširdystę",NA
"mielaširdystes",NA
"mielaširdystės",NA
"mielaširdystėspi",NA
"mieliau",ADV
"mieliausią",ADJ
"mieliausias",ADJ
"mieliausio",ADJ
"mielieji",ADJ
"mieliems",ADJ
"mielo",ADJ
"miernybė",NA
"Mikalojų",NT
"milites",-
"minėdamas",V
"minėdami",V
"minėjimas",NA
"minėti",V
"minėtumbime",V
"minia",NA
"minime",V
"mi",PTK
"mirą",NA
"mirdamas",V
"mirimą",NA
"mirimo",NA
"mirštamos",ADJ
"mirštančiame",V
"mirštu",V
"mirties",NA
"mirtį",NA
"mirtis",NA
"mirti",V
"mirtų",V
"mirusiems",V
"mirusius",V
"mirusių",V
"mišei",NA
"mišia",NA
"mišios",NA
"mistrai",NA
"mistras",NA
"mizernu",ADJ
"mizernų",ADJ
"Mk",-
"mo",***
"mo",-
"mo.",-
"mokėjo",V
"mokė",V
"mokia",V
"mokslą",NA
"mokslas",NA
"mokslo",NA
"mokslopi",NA
"mokydamas",V
"mokytinis",NA
"mokytis",V
"mokyti",V
"mokytojai",NA
"mo",NA
"motė",NA
"moterį",NA
"moters",NA
"moterų",NA
"moterystė",NA
"moterystės",NA
"motina",NA
"motiną",NA
"motinos",NA
"Mt",-
"mudrus",ADJ
"muitininką",NA
"mumis",PPER
"mums",PPER
"murinui",NA
"murmėdami",V
"muša",V
"mus",PPER
"mūsumpi",PPER
"mūsų",PPER
"mylėčiau",V
"mylėdamas",V
"mylėdami",V
"mylėjimą",NA
"mylėjimu",NA
"mylėjo",V
"mylėk",V
"mylėtis",V
"mylėti",V
"mylėtojau",NA
"mylėtų",V
"mylimu",V
"myli",V
"myluoja",V
"n.",-
"nakties",NA
"naktį",NA
"naktis",NA
"naktys",NA
"namų",NA
"namuosna",NA
"namus",NA
"nartinti",V
"nasrais",NA
"nasrų",NA
"naudą",NA
"naudingai",ADV
"naudingi",ADJ
"naudos",NA
"naujai",ADV
"naujame",ADJ
"neapilstų",V
"neapslėpęs",V
"neatbojančiu",V
"neatbojime",NA
"neatbojimo",NA
"neatbojimus",NA
"neatitremi",V
"neatmainoma",V
"neatmesdamas",V
"neatmesk",V
"nedavei",V
"nedėlios",NA
"nederančiam",V
"nederančiu",V
"nederąs",V
"nedera",V
"negalėjo",V
"negalę",NA
"negalįs",V
"negaliu",V
"negali",V
"negeidė",V
"neg",KO
"nei",KO
"nei",PTK
"neišbylomos",V
"neisiu",V
"neišsikalbėjai",V
"nekadai",ADV
"nekaip",KO
"nekaltybe",NA
"ne",KO
"nekurie",PINEG
"nekurios",PI
"nelaimių",ADJ
"nemeldė",V
"nemokantį",V
"nenoriu",V
"nenusidėk",V
"nepabengiamospi",V
"nepaklusnų",ADJ
"nepriderą",V
"neprietelius",NA
"neprieteliūs",NA
"neprileisti",V
"nepristoktų",V
"nepritekimus",NA
"ne",PTK
"nė",PTK
"nėra",V
"neregime",V
"neregimų",V
"nertėk",V
"nertėti",V
"nesa",KO
"nesiekti",V
"nesilaikė",V
"nešimas",NA
"nešioja",V
"nešioti",V
"nes",KO
"nesuskaitomus",V
"neteisaus",ADJ
"netiesą",NA
"net",PTK
"nevalgysi",V
"nevalnykais",NA
"neveizdėk",V
"nevertą",ADJ
"nevertas",ADJ
"nevertesnis",ADJ
"neverti",ADJ
"nevertybę",NA
"neviežlyvumų",NA
"nežinomų",V
"niekada",ADV
"niekad",ADV
"niekam",PI
"niekaniekė",NA
"niekaniekiumpi",NA
"niekaniekių",NA
"niekan",NA
"niekas",PI
"nieko",NA
"nieko",PI
"niekybę",NA
"nimo",***
"nobažnai",ADV
"nobažnas",ADJ
"nobažnos",ADJ
"nobažnumas",NA
"nobažnumu",NA
"nobažnystėje",NA
"nobažnystėspi",NA
"norą",NA
"noras",NA
"norėčiau",V
"norėdamas",V
"norėjai",V
"norėjau",V
"norėjo",V
"norėk",V
"norėti",V
"norėtumbime,norėtumėme",V
"norėtųsi",V
"norime",V
"noringesnis",ADJ
"norintig",KO
"norint",KO
"norint",PTK
"noriu",V
"nori",V
"nor",PTK
"norui",NA
"noru",NA
"nū",ADV
"nubostumbime,nubostumėme",V
"nudalijimo",NA
"nugabentų",V
"nugrynęs",V
"nugrynusiu",V
"nukelti",V
"nukęsti",V
"nukryžiavojimas",NA
"nukryžiavotas",V
"nuleisk",V
"nuleista",V
"nulenkdami",V
"nulenkti",V
"nuliūdusį",V
"numanomas",V
"numarina",V
"numarinimo",NA
"numazgotų",V
"numinėjimo",NA
"numirei",V
"numiręs",V
"numirė",V
"numirę",V
"numirime",NA
"numiršta",V
"numirti",V
"numirtumbime,numirtumėme",V
"numirusių",V
"numirusį",V
"numylėjimo",NA
"nuo",AP
"nuodėmėje",NA
"nuodėmėmis",NA
"nuodėmė",NA
"nuodėmę",NA
"nuodėmėse",NA
"nuodėmes",NA
"nuodėmės",NA
"nuodėmėsna",NA
"nuodėmėspi",NA
"nuodėmėtas",ADJ
"nuodėmėtų",ADJ
"nuodėmiumpi",NA
"nuodėmių",NA
"nuodija",V
"nuodus",NA
"nuogą",ADJ
"nuogu",ADJ
"nuomaniomis",NA
"nuomonia",NA
"nuomonių",NA
"nuopelnais",NA
"nuopelnams",NA
"nuopelną",NA
"nuopelnų",NA
"nuopelnus",NA
"nuoširdžiai",ADV
"nupelno",V
"nupelnyčiau",V
"nupelnymo",NA
"nuplatinimo",NA
"nuplatusi",V
"nuplauk",V
"nuprausti",V
"nupraustų",V
"nupuolė",V
"nuraminimas",NA
"nusidėjau",V
"nusidėjęsis",V
"nusidėjęs",V
"nusidėjimas",NA
"nusidėjimo",NA
"nusidėjimų",NA
"nusidėjimus",NA
"nusidėjo",V
"nusidėjusiais",V
"nusidėjusiam",V
"nusidėjusios",V
"nusidėjusio",V
"nusidėjusius",V
"nusidėjusių",V
"nusidėjusį",V
"nusidėsime",V
"nusidesti",V
"nusidėti",V
"nusiminimas",NA
"nusimirčiau",V
"nusižeminimo",NA
"nusižeminimu",NA
"nuteisintą",V
"nuteisinti",V
"nuvargę",V
"nuvengti",V
"nuvesti",V
"nužeminimu",NA
"nužemintai",ADV
"nužeminta",V
"nužengė",V
"nužengti",V
"Obededomo",NT
"ofierą",NA
"o",ITJ
"o",KO
"o",PTK
"ostijoje",NA
"pabaigęs",V
"pabangai",NA
"pabanga",NA
"pabangos",NA
"pabengtinai",ADV
"pačiam",PD
"pačius",PD
"padaras",NA
"padarei",V
"padaręs",V
"padarė",V
"padariau",V
"padariusios",V
"padaro",NA
"padaryčiau",V
"padarymą",NA
"padarymo",NA
"padarytas",V
"padaryti",V
"padarytų",V
"padaugsinimu",NA
"padavinėjo",V
"padeivintas",V
"padeivinti",V
"padeivintomis",V
"padeivintospi",V
"padeivintų",V
"padėjėjo",NA
"padėjęs",V
"padėjimo",NA
"padėjimu",NA
"padėk",V
"padergsi",V
"padesti",V
"padėtas",V
"padėti",V
"padrūtinai",V
"padrūtinimas",NA
"padrūtinimo",NA
"padrūtink",V
"padrūtino",V
"paduksie",NA
"paduksį",NA
"paduksio",NA
"paduksis",NA
"paduksiu",NA
"padūmojimu",NA
"padūmotumbei,padūmotumei",V
"paduok",V
"paduomi",V
"paduotų",V
"padvariją",NA
"pagal",AP
"pagalba",NA
"pagalbą",NA
"pagalbos",NA
"pagalei",AP
"pagalei",PTK
"pagarbinti",V
"pagarbinto",V
"pagautos",V
"pageidimas",NA
"pagelbėk",V
"pagerbimas",NA
"pagerbime",NA
"pagerbimo",NA
"pagerbimu",NA
"pagerbti",V
"pagerbtumbime,pagerbtumėme",V
"pagimdė",V
"pagimdymą",NA
"pagimdymo",NA
"pagimdyti",V
"pagirdyti",V
"pagirtaipi",V
"pagirtąjį",V
"pagirtas",V
"pagirta",V
"pagirtiems",V
"pagirtos",V
"pagraudinimas",NA
"pagražinti",V
"pagręžti",V
"pagrįžti",V
"pagundas",NA
"pagundos",NA
"pagundų",NA
"pagundymą",NA
"pagundymo",NA
"pagundymus",NA
"pagynėjimą",NA
"pailstų",V
"pajautimai",NA
"pajautimais",NA
"pajautimų",NA
"pajautinimus",NA
"pajudinimo",NA
"pajunkę",V
"pajunkimą",NA
"pajunkimo",NA
"pajunkinimuose",NA
"pakajų",NA
"pakajus",NA
"pakaks",V
"pakaktinai",ADV
"pakampes",NA
"pakanka",V
"pakastas",V
"pakėliau",V
"pakelti",V
"paketino",V
"paklodę",NA
"paklusnumo",NA
"paklusnūs",ADJ
"pakrutėjimo",NA
"pakūta",NA
"pakūtą",NA
"palaidotas",V
"palaidoti",V
"palaiką",NA
"palaiko",NA
"palaima",NA
"palaiminęs",V
"palaiminimai",NA
"palaiminimą",NA
"palaiminimas",NA
"palaiminimo",NA
"palaiminimu",NA
"palaiminta",V
"palaiminti",ADJ
"palaimintiems",ADJ
"palaimintos",ADJ
"palaimintospi",V
"palaimintumbei,palaimintumei",V
"palaimintu",V
"paleist",V
"palengvinimopi",NA
"palenk",V
"palinksminai",V
"palinksminimas",NA
"palinksminimo",NA
"palinksmintas",V
"palinksminti",V
"palytėčiau",V
"palytėjimas",NA
"palytėtas",V
"pamėgčiau",V
"paminėti",V
"paminėtų",V
"pamokslą",NA
"paniekinimą",NA
"papenėk",V
"papenėta",V
"papenėti",V
"papildai",V
"papildyta",V
"papildžiau",V
"papratę",V
"papročio",NA
"paragavimą",NA
"paraginimas",NA
"paralyžiumi",NA
"parašytas",V
"paraustas",V
"parodė",V
"parodyk",V
"parodymo",NA
"parodyti",V
"parodytų",V
"pasakėme",V
"pasakė",V
"pasakyti",V
"pašalpa",NA
"pašalpą",NA
"pašalpos",NA
"pasaulį",NA
"pasaulio",NA
"pasaulis",NA
"pasauliu",NA
"pasaulyje",NA
"pašelpti",V
"pasidaro",V
"pasidaryti",V
"pasidavęs",V
"pasiduodama",V
"pasiduodame",V
"pasigestumbei,pasigestumei",V
"pasikelia",V
"pasilaimins",V
"pasiliaujantis",V
"pasilikdama",V
"pasilikti",V
"pasilytėjusi",V
"pasilytėti",V
"pasilytėtų",V
"pasirgėdami",V
"pasirgėjimo",NA
"pasirodyti",V
"pasisakai",V
"pasisakymo",NA
"pasisakymopi",NA
"pasisakyti",V
"pasiskiriame",V
"pasitaisyti",V
"pasitekėjo",V
"pasitekėsiu",V
"pasitenka",V
"pasižeminimo",NA
"pasižindamas",V
"pasižino",V
"pasizopostijęs",V
"paskaitytu",V
"paskandinimą",NA
"paskandinimo",NA
"paskiriu",V
"paskirtus",V
"paskučiausieji",ADJ
"paskui",ADV
"paskui",AP
"paskujejais",ADJ
"paskutinio",ADJ
"paslaptėje",NA
"pasmėlę",V
"pasmerkimo",NA
"pasnykauti",V
"pasnykus",NA
"pasotina",V
"pasotinimas",NA
"pasotinimu",NA
"pasotinti",V
"pastarą",ADJ
"pastaram",ADJ
"pastaras",ADJ
"pastarieji",ADJ
"pastaro",ADJ
"pastaroji",ADJ
"pastatymo",NA
"pastiprinimas",NA
"pastiprinimo",NA
"pastiprink",V
"pastiprino",V
"pašvankinai",V
"pasveikinimą",NA
"pasveikinimas",NA
"pasveikinime",NA
"pasveikinimo",NA
"pasveikink",V
"pasveikinti",V
"pasveikintumbei,pasveikintumei",V
"pasveikintų",V
"pašventimą",NA
"pašventimų",NA
"pašvęstas",V
"pašvęsta",V
"pašvęsti",V
"pataikinai",V
"pataisyčiau",V
"pataisyme",NA
"pataisyti",V
"pataliepi",NA
"pateks",V
"patenku",V
"patepimas",NA
"patepimo",NA
"pateptinis",ADJ
"pateptos",V
"paterioja",V
"paties",PD
"patiespi",PD
"pati",PD
"patį",PD
"patogiai",ADV
"patogiu",ADJ
"patogumą",NA
"patogumo",NA
"patrauk",V
"patrėmimą",NA
"patremsi",V
"pats",PD
"patvėrę",V
"patvirtino",V
"patys",PD
"paukščiai",NA
"pauostymas",NA
"pauto",NA
"pavadinai",V
"pavadinimui",NA
"pavadinti",V
"pavargėlė",NA
"pavargėliai",NA
"pavargėlį",NA
"pavargėlis",NA
"pavargėliui",NA
"pavargęs",V
"pavartojau",V
"pavartojimu",NA
"paveikslas",NA
"paveikslo",NA
"paveikslu",NA
"paveikslų",NA
"paveikslus",NA
"paversti",V
"paveržimu",NA
"pavildo",V
"pavils",V
"pavirsta",V
"pavydas",NA
"pavydėdami",V
"pavyzdėti",V
"pavyzėk",V
"pažeidei",V
"pažeidimo",NA
"pažeidžiau",V
"pažeidžia",V
"pažeisdamas",V
"pažeisti",V
"pažeistų",V
"paženklina",V
"pažinčiau",V
"pažinios",ADJ
"pažink",V
"pažino",V
"pažintą",V
"pažintiespi",NA
"pažintis",NA
"pažinti",V
"pažintyje",NA
"pažįsta",V
"pažįsti",V
"pažįstu",V
"pazopostijai",V
"pazopostijimu",NA
"pažvilusiu",V
"pažygėjimo",NA
"pažymina",V
"pečio",NA
"peklą",NA
"peklas",NA
"peklos",NA
"pelikone",NA
"peną",NA
"penas",NA
"penėjimu",NA
"penkete",CARD
"penki",CARD
"penkiolika",CARD
"penkiose",CARD
"penkta",ADJO
"penktą",ADJO
"pepinti",V
"per",AP
"peregrinavoja",V
"peregrinavojime",NA
"pergabentų",V
"pergalėjimą",NA
"pergalėti",V
"pergalėtumbime,pergalėtumėme",V
"pergalėtų",V
"perguldytas",V
"perkūną",NA
"perleidžia",V
"perleisk",V
"perleistų",V
"permanymo",NA
"pernakvoti",V
"perrinkinėjime",NA
"persekiojimą",NA
"persemiamą",V
"persemiamosios",V
"perskirti",V
"persona",NA
"personas",NA
"personos",NA
"pertraukime",NA
"pertraukimu",NA
"peržegnojimas",NA
"peržegnok",V
"peteliškėmis",NA
"Petrą",NT
"Petrui",NT
"pigai",ADV
"pigesnis",ADJ
"pigiau",ADV
"pikčiausiam",ADJ
"pikta",ADJ
"piktą",ADJ
"piktai",ADV
"piktąja",ADJ
"piktame",ADJ
"piktas",ADJ
"piktasis",ADJ
"piktesnį",ADJ
"piktesnio",ADJ
"piktieji",ADJ
"pikto",ADJ
"piktojo",ADJ
"piktos",ADJ
"piktų",ADJ
"piktumo",NA
"piktumų",NA
"piktuose",ADJ
"piktybė",NA
"piktybėse",NA
"piktybes",NA
"piktybės",NA
"piktybių",NA
"pildymo",NA
"pildymopi",NA
"pilna",ADJ
"pilnai",ADV
"pilnesnis",ADJ
"pilnumu",NA
"pilnybėje",NA
"Pilotu",NT
"pirma",ADJO
"pirma",ADV
"pirm",ADV
"pirmąjį",ADJO
"pirm",AP
"pirmas",ADJO
"pirmgimė",ADJ
"pirmgimėje",ADJ
"pirmiausia",ADV
"pirmiausiai",ADV
"pirmieji",ADJO
"pirmo",ADJO
"pirmoje",ADJO
"pirmoji",ADJO
"pirmojo",ADJO
"pirmos",ADJO
"pirmųjų",ADJO
"pirštus",NA
"pirtyje",NA
"plačiau",ADV
"plakė",V
"plakimas",NA
"platintųsi",V
"plūdimą",NA
"plūsta",V
"po",AP
"pontiškiu",ADJ
"popiežius",NA
"poteriaus",NA
"poterių",NA
"poterius",NA
"prabangą",NA
"prabingęs",V
"prabingusiai",ADV
"prabylis",NA
"pradėjo",V
"pradėk",V
"pradės",V
"pradžia",NA
"pradžios",NA
"pragarą",NA
"pragaras",NA
"pragaro",NA
"pragaruosna",NA
"pragarus",NA
"prailginimo",NA
"prakeikimo",NA
"prakeiktos",V
"prakurotaras",NA
"praleidai",V
"praleisti",V
"pralotai",NA
"pralydėtų",V
"pramintas",V
"pramitinsi",V
"pranašas",NA
"pranašauti",V
"pranašavimai",NA
"prapuolimą",NA
"prapuolimo",NA
"prarakčiau",V
"prašau",V
"prasidėjo",V
"prasiradimo",NA
"prasiradimų",NA
"prašmatu",ADV
"prašmatus",ADJ
"prašoksta",V
"prašokstu",V
"prašokusios?",V
"prašome",V
"prastojimus",NA
"prastos",V
"prastybėje",NA
"prastyrią",NA
"prašuko",V
"prašydami",V
"pravytumbime,pavytumėme",V
"pražengia",V
"pražengimas",NA
"pražengimų",NA
"pražengimuose",NA
"pražengimus",NA
"pražengti",V
"pražuvęs",V
"pražuvo",V
"prekijas",NA
"priauga",V
"pribūti",V
"pridėk",V
"pridengęs",V
"pridengtas",V
"pridengti",V
"prideramo",V
"priderančiopi",V
"priderančios",V
"priderančio",V
"priderąs",V
"pridera",V
"priderėjimą",NA
"priderėjimo",NA
